SpammerType,method,percent,acc_mean,acc_std,wacc_mean,wacc_std,tau_mean,tau_std
anti,bt,40,0.7678205490112304,3.023465567405877e-05,0.853691166639328,3.078395486239889e-05,0.5312614759174378,5.99738636796442e-05
anti,crowdbt,40,0.7893815702199936,0.000229279971842,0.8714758771657943,0.0001485882843377,0.574030967633451,0.0004547985604096
anti,factorbt,40,0.779726368188858,0.000445263274593,0.8204277634620667,0.0004795438032402,0.5548784833613627,0.0008832429105468
anti,pgem,40,0.7905064010620118,0.0001004627553015,0.8722680187225342,9.357792590595504e-05,0.5762622613407808,0.0001993030365829
anti,rc,40,0.7732838571071625,3.546693789204453e-05,0.8581356644630432,4.076861148940156e-05,0.5428380589025232,7.027807480803838e-05
anti,GradEM,60,0.7903213262557983,5.190432701059219e-05,0.8722238719463349,5.409436637064218e-05,0.5758951094499228,0.0001029602432444
anti,barp,60,0.7416430473327636,4.6575385222720334e-05,0.8278552651405334,5.0165346947030463e-05,0.4793345688984869,9.238504364413907e-05
anti,bt,60,0.7416436076164246,4.650882867180334e-05,0.8278560042381287,5.014888424371459e-05,0.4793356668574746,9.227968346839697e-05
anti,crowdbt,60,0.7895602393150329,0.0002053614649149,0.8716550761461258,0.0001221747385057,0.5743853775142016,0.0004073709271321
anti,factorbt,60,0.7478427350521087,0.0008785237896052,0.7896042227745056,0.0009095709633923,0.4916326656861168,0.0017426936211544
anti,pgem,60,0.7904941302537918,8.061339335379716e-05,0.8722977757453918,7.323963116894713e-05,0.5762379363078923,0.0001599022612145
anti,rc,60,0.766294801235199,3.801978597106878e-05,0.8519737362861634,3.632415031853789e-05,0.529002941234059,7.666227993752533e-05
anti,GradEM,80,0.7901620984077453,5.134126823793101e-05,0.872038871049881,5.557730419818812e-05,0.5755792324266846,0.0001018567555694
anti,barp,80,0.6727598547935486,6.692655297744449e-05,0.7459427177906036,8.642729582275699e-05,0.3426946032219714,0.0001327660482114
anti,bt,80,0.672760146856308,6.703142724000976e-05,0.7459431707859039,8.656050364040569e-05,0.3426952106015611,0.0001329268785136
anti,crowdbt,80,0.7895738762617112,0.00015700218262,0.871636591553688,9.533756565359876e-05,0.5744124318212419,0.0003114408034831
anti,factorbt,80,0.6733195424079895,0.0004042864276418,0.7111412823200226,0.0006173850857778,0.3438050365274246,0.0008018942959307
