SpammerType,method,percent,acc_mean,acc_std,wacc_mean,wacc_std,tau_mean,tau_std
left,factorbt,80,0.6231967449188233,0.001075841537638,0.6551047503948212,0.0019090436049103,0.2325976703496606,0.0020312182597969
left,pgem,80,0.6775698834657669,0.0322447212691906,0.7341871416568756,0.0436235436457448,0.3352554674288704,0.0608787120847638
left,rc,80,0.6048557937145234,0.0002490007988525,0.6580282032489777,0.0005028278766314,0.1984090265848392,0.0004685119139862
random,GradEM,10,0.6988087713718414,0.001870657526043,0.7585985481739044,0.0015482747562378,0.3753545262641052,0.0035318433574411
random,barp,10,0.6868600904941559,0.0024467950626082,0.7523422062397003,0.0031176732659234,0.3528096664499827,0.0046213701512492
random,bt,10,0.6779773235321045,0.0028220424757393,0.7402839720249176,0.0034293636229051,0.3361050534186345,0.0053234271948052
random,crowdbt,10,0.7038585871458054,0.0015692855330666,0.7637020683288575,0.0015285531309251,0.3848886768489625,0.0029628332938639
random,factorbt,10,0.6968462646007538,0.0021233229411276,0.7435705363750458,0.0037334902474917,0.3716492788255854,0.0040088692126649
random,pgem,10,0.6946278429031372,0.0029810590685372,0.7549875712394715,0.0036677127342834,0.3674608791301037,0.0056283014355069
random,rc,10,0.6498985469341279,0.0014557651461747,0.7105469584465027,0.0019542713890072,0.2843613051750724,0.0027665508628386
random,GradEM,20,0.6988975942134857,0.0019909565667859,0.7586194336414337,0.0016990097861841,0.3755222535144085,0.0037589520195894
random,barp,20,0.684888505935669,0.0034397911040265,0.7488114416599274,0.0045634548174304,0.3490750315177197,0.0064950418314848
random,bt,20,0.6770223200321197,0.0040059333201965,0.7383949100971222,0.0053949794743882,0.3343054905446836,0.0075504283680481
random,crowdbt,20,0.7037938755750656,0.0016308287246694,0.7636478632688523,0.0019216296042603,0.3847666155195171,0.0030791327151988
random,factorbt,20,0.6934522569179535,0.003163198619513,0.7431030094623565,0.0035959033879934,0.3652413354674049,0.0059721866974536
random,pgem,20,0.6954012334346771,0.0022346865928427,0.7558070743083953,0.0029124801298852,0.3689210426200829,0.0042191354954416
random,rc,20,0.6524061858654022,0.0025931655653964,0.7126950621604919,0.0033610465626406,0.28845856865424,0.0048642151581913
random,GradEM,40,0.698378711938858,0.0030461397936442,0.7580890953540802,0.0030173738658367,0.3745425738933183,0.0057511823545697
random,barp,40,0.6772666215896607,0.0029037685260003,0.7379881262779235,0.0039268589116862,0.3346903129682267,0.0054886822871963
random,bt,40,0.6740452468395233,0.002816316006932,0.734043937921524,0.0042212501477672,0.3287236391920051,0.0053184894961964
random,crowdbt,40,0.702889449596405,0.0021659895789183,0.7628574186563492,0.0022721084254314,0.3830590376704914,0.0040894998712398
random,factorbt,40,0.6940196096897125,0.0021782998856984,0.740859967470169,0.0044626671330305,0.3663125026795696,0.0041126884227117
random,pgem,40,0.6945194190740586,0.0040225164552743,0.754625831246376,0.0046725031358743,0.3672570549493413,0.0075950161093455
random,rc,40,0.6537266373634338,0.003497687873103,0.7145993828773498,0.0043361651456109,0.2905420290256161,0.0065671387702448
random,GradEM,60,0.6975529253482818,0.0030785167394782,0.7574082136154174,0.0030988186641146,0.3729834728620894,0.0058122943790149
random,barp,60,0.6733163714408874,0.00333891544016,0.7321151435375214,0.004644373928167,0.3272321284545116,0.0063030774936471
random,bt,60,0.6722715079784394,0.0039140387530198,0.7314724683761596,0.0052297068003051,0.3253631524672571,0.0073921813912029
random,crowdbt,60,0.7019298964738846,0.0025652050297576,0.7621744227409363,0.002778900530162,0.381247280125047,0.0048431481717186
random,factorbt,60,0.6919278800487518,0.0031612964171136,0.7401560783386231,0.0045587916555145,0.3623651943229985,0.0059707701331761
